segmentId,name_vn,lat_start,lon_start,lat_end,lon_end,laneCount_aggregated,speedLimit,frc,roadType,surface,oneway,width,ref,currentSpeed,freeFlowSpeed,jamFactor,congestionIndex,trafficVolume,occupancy,incidentFlag,LOS,crossTime,busRoute,bicycleLane,sidewalk,bridgeTunnel,maxHeight,maxWeight,barrier,lit,crossing,curvatureIndex,bearing,lengthKm,timeStamp,dayOfWeek,speedLimitRatio,relativeCongestionIndex,routeSlopePercent,intersectionCount,hourOfDay,dayType
595ab3675628fa88dda774c1528560cd,Đường Trường Chinh,10.7984865,106.6430538,10.8284986,106.6246086,1.0,50.0,FRC2,service,,,,,28.0,36.0,0.0,0.7777777777777778,760.0,22.22222222222222,0,B,0.0642857142857143,,,,,,,,,,0.048457,328.8832370552286,3.884496402164811,2603090759,0,0.56,0.2222222222222222,-0.4891238923380491,3,7,Weekday
a055a83d88a493b85b2c98528111f650,Đường Trần Quốc Hoàn,10.8006191,106.6610875,10.8003982,106.6611458,1.0,50.0,FRC2,primary,asphalt,yes,,,16.5,36.0,0.0,0.4583333333333333,1335.0,54.16666666666667,0,D,0.1090909090909091,,,,,,,,,,0.000279,165.46629789265057,0.025252586965583596,2603090759,0,0.33,0.5416666666666666,0.0,3,7,Weekday
a4d23f755ffadbb80a311a3f1f5a0741,Hẻm 369 Tô Ký,10.8527736,106.6262305,10.8661857,106.6159466,1.5,40.0,FRC4,residential,,yes,,,25.5,35.5,0.0,0.7183098591549296,1300.56,28.169014084507037,0,B,0.07058823529411765,,,,,,,,,,0.023696,323.0200582676662,1.8615321358457129,2603090759,0,0.6375,0.28169014084507044,-1.4504181518055623,4,7,Weekday
b54a6d48c527819a9f4d0b504114e0a5,Vòng Xoay Lạc Long Quân,10.7696068,106.6355415,10.7667998,106.6421803,2.0,50.0,FRC4,tertiary,asphalt,yes,,,24.0,31.0,0.0,0.7741935483870968,1532.9,22.580645161290324,0,B,0.07500000000000001,,,,,,,,,,0.009446,113.28623935943767,0.7896990592269767,2603090759,0,0.48,0.22580645161290322,0.5065220672689585,1,7,Weekday
7356cb4343632525d15d1b42d3f73a71,Đường Võ Văn Ngân,10.8497041,106.7710929,10.8496933,106.7715732,1.0,50.0,FRC1,service,,,,,40.0,50.0,0.0,0.8,720.0,19.999999999999996,0,B,0.045,,,,,,,,,,0.000491,91.31152474448709,0.05253081254152018,2603090759,0,0.8,0.2,0.0,4,7,Weekday
98c9357b3e508c6dca3ff35cc3c350f2,Đường Đồng Khởi,10.7721656,106.6944832,10.7779424,106.7010583,2.5,50.0,FRC4,tertiary,asphalt,yes,,,16.0,24.0,0.0,0.6666666666666666,2400.0,33.333333333333336,0,C,0.11249999999999999,,,,,,,,,,0.012352,48.19133604990668,0.9619956472829647,2603090800,0,0.32,0.3333333333333333,1.2474068914856826,3,8,Weekday
892c20f6a6a2ead0bf7efc87233b05e8,Đường Trường Sơn,10.8130678,106.6650669,10.8144166,106.6652668,2.5,45.0,FRC2,primary,asphalt,yes,,,19.0,34.0,0.0,0.5588235294117647,2885.29,44.11764705882353,0,C,0.09473684210526316,,,,,,,,,,0.001549,8.282577251723922,0.1507882944554907,2603090800,0,0.4222222222222222,0.4411764705882353,0.6631814515915077,5,8,Weekday
302d4125efbb7c78066753c7a38c4015,Hẻm 341 Khuông Việt,10.7693434,106.6376979,10.7719922,106.6410076,1.0,50.0,FRC4,residential,asphalt,,,,24.0,31.0,0.0,0.7741935483870968,766.45,22.580645161290324,0,B,0.07500000000000001,,,,,,,,,,0.005958,50.831151946145326,0.46570154371584943,2603090800,0,0.48,0.22580645161290322,1.288378808480166,2,8,Weekday
d9ff27de775687ba6ae535d9cdf8a20f,Hẻm 9/1 Lê Tấn Bê,10.7282004,106.6071858,10.7265851,106.6050773,1.0,50.0,FRC2,footway,asphalt,,,,25.0,35.0,0.0,0.7142857142857143,874.29,28.57142857142857,0,B,0.072,,,,,,,,,,0.003724,232.05608299928554,0.2917527681549944,2603090800,0,0.5,0.2857142857142857,-1.3710238381954236,3,8,Weekday
bda846063a0f7891c5c483bb47f70323,Đường Ngô Nhân Tịnh,10.7535742,106.6537519,10.7510733,106.6533152,2.0,50.0,FRC2,primary,asphalt,yes,,,23.0,33.5,0.0,0.6865671641791045,1848.36,31.343283582089555,0,C,0.0782608695652174,,,,,,,,,,0.002938,189.73445331227737,0.2807253494519094,2603090801,0,0.46,0.31343283582089554,-0.7124401141203731,3,8,Weekday
